adm2_en,month,NO2,date
Davao de Oro,2021-12,3.920476035682476e-05,2021-12-01T00:00:00
Davao Occidental,2021-12,4.034290307658855e-05,2021-12-01T00:00:00
Cotabato,2021-12,4.387661939077238e-05,2021-12-01T00:00:00
Maguindanao del Norte,2021-12,4.287233333915472e-05,2021-12-01T00:00:00
Maguindanao del Sur,2021-12,4.369212447121191e-05,2021-12-01T00:00:00
Davao de Oro,2022-01,4.057346911523896e-05,2022-01-01T00:00:00
Davao Occidental,2022-01,3.918523072145946e-05,2022-01-01T00:00:00
Cotabato,2022-01,4.437666345748041e-05,2022-01-01T00:00:00
Maguindanao del Norte,2022-01,4.267014508166218e-05,2022-01-01T00:00:00
Maguindanao del Sur,2022-01,4.470869890284832e-05,2022-01-01T00:00:00
Davao de Oro,2022-02,3.83670044536492e-05,2022-02-01T00:00:00
Davao Occidental,2022-02,3.8023313479412064e-05,2022-02-01T00:00:00
Cotabato,2022-02,4.134182643544348e-05,2022-02-01T00:00:00
Maguindanao del Norte,2022-02,4.27754984499026e-05,2022-02-01T00:00:00
Maguindanao del Sur,2022-02,4.3321503406392175e-05,2022-02-01T00:00:00
Davao de Oro,2022-03,3.753702266482516e-05,2022-03-01T00:00:00
Davao Occidental,2022-03,3.7612387199413386e-05,2022-03-01T00:00:00
Cotabato,2022-03,4.057623272517124e-05,2022-03-01T00:00:00
Maguindanao del Norte,2022-03,4.039340080520978e-05,2022-03-01T00:00:00
Maguindanao del Sur,2022-03,4.261507878682819e-05,2022-03-01T00:00:00
Davao de Oro,2022-04,4.027333522140643e-05,2022-04-01T00:00:00
Davao Occidental,2022-04,4.083970710288189e-05,2022-04-01T00:00:00
Cotabato,2022-04,4.235727286888853e-05,2022-04-01T00:00:00
Maguindanao del Norte,2022-04,4.2599275346468265e-05,2022-04-01T00:00:00
Maguindanao del Sur,2022-04,4.4527524421621934e-05,2022-04-01T00:00:00
Davao de Oro,2022-05,4.2225782827601255e-05,2022-05-01T00:00:00
Davao Occidental,2022-05,4.2389403001582176e-05,2022-05-01T00:00:00
Cotabato,2022-05,4.633595234241672e-05,2022-05-01T00:00:00
Maguindanao del Norte,2022-05,4.5233804403891714e-05,2022-05-01T00:00:00
Maguindanao del Sur,2022-05,4.781919980662692e-05,2022-05-01T00:00:00
Davao de Oro,2022-06,4.029005766761798e-05,2022-06-01T00:00:00
Davao Occidental,2022-06,3.9063197993841735e-05,2022-06-01T00:00:00
Cotabato,2022-06,4.320422649954686e-05,2022-06-01T00:00:00
Maguindanao del Norte,2022-06,4.248008182291782e-05,2022-06-01T00:00:00
Maguindanao del Sur,2022-06,4.413763647185864e-05,2022-06-01T00:00:00
Davao de Oro,2022-07,4.114125242173793e-05,2022-07-01T00:00:00
Davao Occidental,2022-07,3.972936711008587e-05,2022-07-01T00:00:00
Cotabato,2022-07,4.334749408329946e-05,2022-07-01T00:00:00
Maguindanao del Norte,2022-07,4.213292759412548e-05,2022-07-01T00:00:00
Maguindanao del Sur,2022-07,4.358050135265704e-05,2022-07-01T00:00:00
Davao de Oro,2022-08,4.189688325389422e-05,2022-08-01T00:00:00
Davao Occidental,2022-08,4.019422105695157e-05,2022-08-01T00:00:00
Cotabato,2022-08,4.481179586924056e-05,2022-08-01T00:00:00
Maguindanao del Norte,2022-08,4.413433766723493e-05,2022-08-01T00:00:00
Maguindanao del Sur,2022-08,4.581469151315372e-05,2022-08-01T00:00:00
Davao de Oro,2022-09,4.275919993132504e-05,2022-09-01T00:00:00
Davao Occidental,2022-09,4.1109187750641486e-05,2022-09-01T00:00:00
Cotabato,2022-09,4.487447145643305e-05,2022-09-01T00:00:00
Maguindanao del Norte,2022-09,4.392033850091839e-05,2022-09-01T00:00:00
Maguindanao del Sur,2022-09,4.738579764439584e-05,2022-09-01T00:00:00
Davao de Oro,2022-10,4.342236373851363e-05,2022-10-01T00:00:00
Davao Occidental,2022-10,4.093741948121317e-05,2022-10-01T00:00:00
Cotabato,2022-10,4.391955724919893e-05,2022-10-01T00:00:00
Maguindanao del Norte,2022-10,4.417592247001409e-05,2022-10-01T00:00:00
Maguindanao del Sur,2022-10,4.448606952258752e-05,2022-10-01T00:00:00
Davao de Oro,2022-11,4.14972118382746e-05,2022-11-01T00:00:00
Davao Occidental,2022-11,3.833228330084448e-05,2022-11-01T00:00:00
Cotabato,2022-11,4.340704748570954e-05,2022-11-01T00:00:00
Maguindanao del Norte,2022-11,4.283798136139971e-05,2022-11-01T00:00:00
